name,visits,spend,months,plan,will_leave
客096,6,6690,39,basic,no
客097,3,7360,18,basic,yes
客098,5,5851,36,basic,no
客099,9,11467,12,basic,no
客100,7,6681,42,basic,no
客101,9,7544,6,basic,no
客102,4,14002,20,premium,no
客103,2,7924,10,premium,no
客104,5,10155,21,basic,no
客105,10,28163,42,premium,no
客106,0,5000,41,premium,yes
客107,6,13229,34,basic,no
客108,7,18250,38,premium,no
客109,8,19449,6,basic,no
客110,8,11656,25,premium,no
客111,4,6307,35,basic,no
客112,5,9781,5,premium,no
客113,11,23932,34,basic,no
客114,6,12346,17,basic,yes
客115,2,4695,30,basic,yes
客116,6,11822,19,premium,no
客117,7,18845,39,premium,no
客118,5,8129,40,basic,no
客119,8,10355,44,basic,no
客120,5,12443,34,basic,no
客121,9,7467,36,basic,no
客122,10,24897,30,basic,no
客123,8,7414,25,basic,no
客124,9,9228,6,basic,no
客125,0,5000,41,premium,yes
客126,9,9633,32,basic,no
客127,4,9156,32,premium,no
客128,4,3211,23,basic,yes
客129,7,14084,22,basic,no
客130,5,7316,48,basic,no
客131,14,31531,38,basic,no
客132,12,22553,18,basic,no
客133,6,13019,10,premium,no
客134,6,13082,24,basic,no
客135,0,5000,41,premium,yes
客136,14,21930,47,basic,no
客137,3,7050,9,basic,yes
客138,9,11510,36,basic,no
客139,5,7452,17,basic,no
客140,4,4014,16,basic,yes
客141,7,12149,42,basic,no
客142,17,25952,29,basic,no
客143,6,10469,36,basic,no
客144,6,11861,21,premium,no
客145,5,10339,2,basic,yes
客146,3,4940,14,basic,yes
客147,8,18597,37,premium,no
客148,13,19234,14,basic,no
客149,2,2032,29,basic,yes
客150,3,7338,28,basic,no
客151,9,25288,32,premium,no
客152,6,6351,29,basic,no
客153,11,25905,44,premium,no
客154,11,23428,30,basic,no
客155,4,10265,15,premium,no
客156,2,3975,9,basic,yes
客157,8,14007,8,premium,no
客158,6,10282,17,basic,yes
客159,5,8040,30,basic,no
客160,5,9989,16,basic,no
客161,8,20201,20,premium,no
客162,5,5927,6,basic,yes
客163,3,5881,3,basic,yes
客164,9,13231,13,premium,no
客165,9,10731,32,basic,no
客166,5,12091,15,basic,yes
客167,0,0,32,basic,yes
客168,11,9816,43,basic,no
客169,8,16054,2,basic,no
客170,0,0,12,basic,yes
客171,9,17182,6,basic,no
客172,5,15165,34,premium,no
客173,10,8048,24,basic,no
客174,9,15785,18,basic,no
客175,1,2197,14,basic,yes
客176,11,15769,28,basic,no
客177,7,5960,29,basic,no
客178,6,5214,27,basic,no
客179,0,0,3,basic,yes
客180,11,13892,48,basic,no
客181,12,21056,40,premium,no
客182,4,14431,18,premium,yes
客183,7,6876,41,basic,no
客184,15,32139,46,basic,no
客185,6,6665,28,basic,no
客186,3,5496,48,basic,yes
客187,8,12474,21,premium,no
客188,4,3640,13,basic,yes
客189,1,2466,3,basic,yes
客190,9,10387,7,basic,no
客191,0,0,27,basic,yes
客192,1,6199,9,premium,yes
客193,9,19130,35,basic,no
客194,4,4927,19,basic,yes
客195,6,7202,17,basic,no
客196,9,8191,19,basic,no
客197,10,19043,17,basic,no
客198,0,0,7,basic,yes
客199,10,22906,15,basic,no
客200,7,12910,15,premium,no
客201,0,0,5,basic,yes
客202,7,19045,43,premium,no
客203,6,5250,23,basic,no
客204,12,26220,17,basic,no
客205,2,7661,21,premium,yes
客206,10,9075,14,basic,no
客207,7,13206,7,basic,no
客208,3,4489,6,basic,yes
客209,3,3993,19,basic,yes
客210,9,20422,37,basic,no
客211,3,3438,24,basic,yes
客212,3,6583,1,basic,yes
客213,2,2041,26,basic,yes
客214,0,0,4,basic,yes
客215,11,11528,40,basic,no
客216,7,6894,19,basic,no
客217,6,7876,32,basic,no
客218,10,18329,3,basic,no
客219,0,5000,41,premium,yes
客220,0,5000,11,premium,yes
客221,7,6096,13,basic,no
客222,8,9760,34,basic,no
客223,7,20625,47,premium,no
客224,13,19015,44,basic,no
客225,0,0,30,basic,yes
客226,2,7849,20,premium,no
客227,5,17382,33,premium,no
客228,6,13332,30,basic,no
客229,4,6128,31,basic,no
客230,7,11085,6,premium,no
客231,12,25463,41,basic,no
客232,11,21006,33,basic,no
客233,7,19311,9,premium,no
客234,9,11604,8,basic,yes
客235,3,2734,11,basic,yes
客236,3,6972,23,basic,yes
客237,9,14883,18,basic,no
客238,6,12221,31,premium,no
客239,8,15057,24,basic,no
客240,2,4293,18,basic,yes
客241,9,25331,17,premium,no
客242,1,1228,29,basic,yes
客243,3,3750,35,basic,no
客244,2,3103,24,basic,yes
客245,0,0,12,basic,yes
客246,2,9756,17,premium,yes
客247,5,5269,21,basic,no
客248,3,6967,40,basic,no
客249,0,0,9,basic,yes
客250,2,7814,1,premium,yes
客251,3,3441,15,basic,yes
客252,7,16745,40,basic,no
客253,4,7539,16,basic,no
客254,6,14664,43,basic,no
客255,2,3622,4,basic,yes
客256,0,5000,38,premium,yes
客257,6,10057,11,premium,no
客258,6,4925,12,basic,no
客259,4,4556,36,basic,no
客260,2,4365,39,basic,no
客261,4,8529,12,premium,no
客262,7,10064,47,basic,no
客263,5,14572,28,premium,no
客264,6,11369,12,basic,no
客265,2,9805,8,premium,yes
客266,5,14773,17,premium,no
客267,7,9117,44,basic,no
客268,10,12426,14,basic,no
客269,7,14479,16,basic,no
客270,7,13446,21,premium,no
客271,15,28972,41,premium,no
客272,3,7274,34,basic,no
客273,2,2931,15,basic,yes
客274,13,11127,38,basic,no
客275,13,32000,8,basic,no
客276,7,18258,45,premium,no
客277,3,6768,3,basic,yes
客278,9,25836,24,premium,no
客279,10,29053,5,premium,no
客280,6,5151,7,basic,yes
客281,11,19173,41,premium,no
客282,10,16484,7,premium,no
客283,4,4945,21,basic,yes
客284,12,25292,19,basic,no
客285,0,5000,39,premium,yes
客286,10,13895,27,basic,no
客287,10,27658,46,premium,no
客288,3,2406,6,basic,yes
客289,4,3229,13,basic,yes
客290,11,26885,32,basic,no
客291,1,1782,38,basic,yes
客292,5,10967,11,premium,no
客293,10,16334,11,basic,no
客294,4,5618,45,basic,no
客295,13,17304,26,premium,no
客296,8,12221,42,basic,no
客297,2,7394,35,premium,no
客298,9,23720,30,premium,no
客299,11,16704,42,premium,no
客300,2,3174,29,basic,no
